text_translated,hateful
It&#39;s team 2,0
Bro still has the Brawl stars logo on each scene,0
"Guys stop hating on him, he said he’s fucking sorry",0
England is my city😭,0
im still gonna use UberX,0
i thought this was the best song ever back then. boy was i wrong.,0
I remember me when I was 9 that I added a maverick hoodie to my christmas list,0
99.99999999999999999999% selfless promotion<br><br>And <br>0.000000000000000000000001%<br>Flexing,0
3 yearsss,0
Him: None of us knew how to react<br>Them: <b>Laughs</b>,0
Bro watching this in 2022… I used to think this was literally the coolest and most best thing to ever listen to😭😭,0
No I am a true Jake Paul bitch!!,1
I remember watching this for the first time in 11th grade. this was my entire personality for a year.,0
Yes 👍,0
When he said malicious I legitimately thought he said Fergalicious,0
This song will forever have a special place in my heart ❤,0
"If your going to have a horse, use it right",0
Idk why is he obsessed with &#39;hoodie&#39;?!🤔🤔,0
The memories this holds is amazing,0
I don&#39;t like Logan Paul but you gotta admit the songs catchy,0
Only in ohio.,0
Jake paul vs tommy fury who would have thought,0
mr beast better this song not for kids bruh mr beast  have 116M,0
Yo jimmy can I play in the next squid game?,0
I miss this time:( TikTok ruined social media,0
The best games,0
Yes yes snail baguette,0
it’s funny how the only one in this video who is still relevant is Jake.,0
That is the voice key engineer haha,0
you got those big blue eyes😜🤞 drive me crazy 🤫💓 make me fantasize 🥺 about u baby😍,0
@Ben Just Ben its unbelievable wat logan did he should be banned rlly serious offences he shouldh ave been arrested for that srsly,0
Logan what the f why were you laughing when you saw the body grow up,1
Hey mr why the sound ia Indonesian are you Indonesia or what?,0
Me,0
Cringe,0
fr,0
"Yes, you really are the kindest person IN THE WHOLE UNIVERSE!",0
You just now found this?!?,0
He is better,0
North Korea forever,0
i lowkey remember this from my why don’t we phase 💀,0
Are ya there,0
jimmy red guy gived someone a lighter,0
Did that one company claim it or... ?<br>Yea cause I don&#39;t see it 🤷‍♂️,0
Zkjdnd,0
This nigga was put to sleep by Floyd 😴😴😴😴😂😂😂😂,1
The only good  part was when why don’t we showed u😂,0
R.I.P KONG DA SAVAGE 😢,0
@Orz explain how they have 221M subs with less than 1 mil views per vid,0
It’s really been 5 years….,0
This is 🤢🤢🤢,0
"<a href=""https://www.youtube.com/watch?v=hSlb1ezRqfA&amp;t=1m16s"">1:16</a> that line makes me want to kill myself",1
Why is this in my recommended,0
This comment section is now cursed,0
I have no idea,0
ITS EVERYDAY BRO,0
Pewdiepie is next<br><br><br><br><br><br><b>&quot;That was 5 years ago&quot;</b>,0
Please help,0
Someone stepped out when you were explaining stuff,0
I no,0
Erick Games &amp; Parodies how is that an insult i-,0
Oooo you’re going on the Naughty List.,0
#1 Diss track ever,0
P,0
How they pee or pooped?,0
Saying lit is normie,0
Both know how you can see it,0
Anyone in 2019?!?,0
The most popular Pewdiepie video,0
"Turkish voice-over is an excellent idea. Now you&#39;re my favorite channel<a href=""about:invalid#zCSafez""></a>",0
"<a href=""https://www.youtube.com/watch?v=oeCytho8wq4&amp;t=2m15s"">2:15</a> is the most iconic line ever",0
@james t whayever,0
What my sister wants me to do when I softly slap her on the arm:,0
Bro wtf,0
Came from crown jewel,0
man fuck drill this is better 💀,1
The 🐐,0
This will be the most liked comment,0
YOU LIED PAA PAA,0
I was 13 when this dropped... now I&#39;m 18,0
wow,0
This Song must be 🔥🔥 if it has no dislikes,0
The dude who died for 456 is so under talked about,0
Hello,0
Hi nice songs,0
"200,000 close",0
"<a href=""https://www.youtube.com/watch?v=hSlb1ezRqfA&amp;t=0m09s"">0:09</a> that explains a lot",0
I love your songs,0
Wow amazing,0
I know I&#39;m a bit late but I just subbed can I win something??,0
Man literally get Naruto VA for his Japanese voice,0
<i>I’ve had a severe lapse in judgement</i>,0
WHO LET HIM COOK❓‼️ 🔥🔥,0
Apparently the answer is yes,0
@Bible lover 123 and what&#39;s up he&#39;s right he can&#39;t see this song,0
this song is confirmed to have caused a spike in suicide rates,1
Here in 2022 still a banger,0
@Evernevers what,0
still a banger 3 years later,0
i dont get it,0
